card,level,trophies,win,draw,lose
Baby Dragon,8,3100,13,0,8
Baby Dragon,9,3100,1,0,2
Baby Dragon,10,3100,1,0,1
Baby Dragon,6,3200,1,0,3
Baby Dragon,7,3200,2,0,9
Baby Dragon,8,3200,18,0,14
Baby Dragon,9,3200,6,0,3
Baby Dragon,10,3200,1,0,0
Baby Dragon,11,3200,0,0,1
Baby Dragon,7,3300,3,0,4
Baby Dragon,8,3300,18,0,5
Baby Dragon,9,3300,3,0,0
Baby Dragon,11,3300,0,0,2
Baby Dragon,12,3300,0,0,1
Baby Dragon,6,3400,4,0,0
Baby Dragon,7,3400,11,0,22
Baby Dragon,8,3400,17,0,32
Baby Dragon,9,3400,13,0,14
Baby Dragon,10,3400,2,0,1
Baby Dragon,11,3400,0,0,2
Baby Dragon,6,3500,1,0,7
Baby Dragon,7,3500,9,0,25
Baby Dragon,8,3500,20,0,35
Baby Dragon,9,3500,4,0,19
Baby Dragon,10,3500,1,0,1
Baby Dragon,6,3600,8,0,5
Baby Dragon,7,3600,24,0,27
Baby Dragon,8,3600,49,0,49
Baby Dragon,9,3600,22,0,26
Baby Dragon,10,3600,0,0,5
Baby Dragon,11,3600,1,0,2
Baby Dragon,12,3600,1,0,2
Baby Dragon,13,3600,0,0,3
Baby Dragon,6,3700,3,0,10
Baby Dragon,7,3700,35,0,106
Baby Dragon,8,3700,103,0,177
Baby Dragon,9,3700,41,0,67
Baby Dragon,10,3700,5,0,12
Baby Dragon,11,3700,0,0,2
Baby Dragon,12,3700,0,0,2
Baby Dragon,13,3700,2,0,2
Baby Dragon,6,3800,2,0,14
Baby Dragon,7,3800,38,0,106
Baby Dragon,8,3800,121,0,214
Baby Dragon,9,3800,49,0,105
Baby Dragon,10,3800,11,0,8
Baby Dragon,11,3800,0,0,2
Baby Dragon,12,3800,0,0,1
Baby Dragon,6,3900,2,0,9
Baby Dragon,7,3900,20,0,48
Baby Dragon,8,3900,69,0,143
Baby Dragon,9,3900,37,0,78
Baby Dragon,10,3900,3,0,15
Baby Dragon,11,3900,1,0,3
Baby Dragon,6,4000,1,0,1
Baby Dragon,7,4000,16,0,17
Baby Dragon,8,4000,32,0,54
Baby Dragon,9,4000,21,0,42
Baby Dragon,10,4000,5,0,7
Baby Dragon,11,4000,2,0,7
Baby Dragon,12,4000,1,0,3
Baby Dragon,13,4000,1,0,9
Baby Dragon,6,4100,1,0,2
Baby Dragon,7,4100,6,0,23
Baby Dragon,8,4100,35,0,96
Baby Dragon,9,4100,21,0,66
Baby Dragon,10,4100,11,0,30
Baby Dragon,11,4100,0,0,9
Baby Dragon,12,4100,5,0,11
Baby Dragon,13,4100,4,0,10
Baby Dragon,6,4200,2,0,2
Baby Dragon,7,4200,14,0,41
Baby Dragon,8,4200,50,0,156
Baby Dragon,9,4200,56,0,170
Baby Dragon,10,4200,31,0,44
Baby Dragon,11,4200,3,0,8
Baby Dragon,12,4200,3,0,10
Baby Dragon,13,4200,5,0,8
Baby Dragon,6,4300,3,0,5
Baby Dragon,7,4300,13,0,71
Baby Dragon,8,4300,82,0,255
Baby Dragon,9,4300,119,0,291
Baby Dragon,10,4300,67,0,122
Baby Dragon,11,4300,6,0,9
Baby Dragon,12,4300,3,0,13
Baby Dragon,13,4300,4,0,11
Baby Dragon,6,4400,4,0,2
Baby Dragon,7,4400,13,0,55
Baby Dragon,8,4400,115,0,307
Baby Dragon,9,4400,200,0,438
Baby Dragon,10,4400,152,0,265
Baby Dragon,11,4400,33,0,29
