leftstartingtrophies,.fitted,.se.fit,.resid,.hat,.sigma,.cooksd
3406,3554.4831262632915,123.19402809154778,-148.4831262626489,0.15939377866266885,308.57738752187845,1.1708471526967075e-5
3703,3728.656355862954,135.8415385624835,-25.656355851516743,0.19380154666610788,308.5800374604463,4.620862975820482e-7
4904,4990.847720349662,90.44281671558558,-86.84772034904259,0.08590930661853835,308.57926213587473,1.8257374225586904e-6
4656,4472.340851656148,158.33766736988704,183.65914834782282,0.26330586949577417,308.5753478811793,3.852752269543088e-5
4929,4775.685262467505,112.99262749238878,153.31473752866262,0.13408872784153555,308.5772918426977,9.89630618440084e-6
4731,4387.121931792031,96.9140891676024,343.87806820777587,0.0986429137189756,308.56644126428074,3.380188545203782e-5
2806,2983.621497062456,119.23479700144226,-177.62149705822745,0.14931316054092544,308.57625509859724,1.5325319740958878e-5
3802,3910.61496998586,91.31036328112197,-108.6149699854865,0.08756533153934334,308.5787743078915,2.9212440770281475e-6
4654,4813.6184597075335,126.52696536186852,-159.6184597078672,0.16813504290543704,308.5769286952548,1.4573995888583438e-5
1815,1304.2918584444765,168.571916024176,510.7081415547771,0.29844375891311886,308.5413506858167,3.7234275751899844e-4
4503,4744.611632323105,113.12912287447897,-241.61163232592298,0.1344128825634092,308.57308966671127,2.4655558077400742e-5
4692,4693.092748772991,96.57305440002264,-1.0927487712916033,0.0979498984160149,308.5801224665851,3.384099750306697e-10
3496,3770.5089533101145,75.23900823729171,-274.50895330962805,0.059453603106239455,308.5717676206193,1.1923138561561314e-5
4496,4231.50101913867,85.13345033441507,264.49898086238886,0.0761189037792006,308.5722259267637,1.4688187271089204e-5
4946,4887.7691273231385,90.31952275848298,58.23087267723806,0.08567523875024624,308.57973586976226,8.181271215119695e-7
1357,990.8339949793135,163.41431790010049,366.16600502042314,0.2804608630222416,308.5606903927467,1.7099338101158216e-4
3835,3885.8004422334548,141.41470356773544,-50.800442233753024,0.21002993117358176,308.5797819364813,2.0448183535784586e-6
4699,4659.1657656552925,91.33020563682226,39.83423434451592,0.0876033927446319,308.5799412467809,3.9312112546564246e-7
4567,4327.812137660955,147.07429368953683,239.18786233973944,0.2271776474497524,308.5724027171095,5.123235918194602e-5
4123,4371.862385504907,119.94991587344892,-248.86238550550658,0.15110956329922137,308.5725144527719,3.057503901583962e-5
4142,4527.761073490276,210.91770150798882,-385.7610734921678,0.4672164388919658,308.5509944195956,5.766510899508407e-4
4642,4775.581679438764,211.77838262573653,-133.58167943934322,0.47103731147100286,308.5766047476836,7.07227047004276e-5
3416,3371.1554055348392,129.72821891681116,44.84459446376269,0.17675062825605622,308.57986786535116,1.2347475810625912e-6
4319,4239.6607930220835,211.09516556040293,79.3392069785619,0.46800299216431357,308.57888872063916,2.4505625526979132e-5
